ID,Section,Word,Correct Answer,Wrong1,Wrong2,Wrong3,Points
1,1,lie,いる,置く,上がる,存在する,1
2,1,lay,置く,いる,上げる,到着する,1
3,1,lie,うそをつく,いる,置く,証明する,1
4,1,rise,上がる,上げる,落ちる,進化する,1
5,1,raise,上げる,上がる,持ってくる,示す,1
6,1,grow,成長する,進化する,存在する,戻る,1
7,1,bring,持ってくる,送る,渡す,訪問する,1
8,1,exist,存在する,現れる,所属している,住んでいる,1
9,1,participate,参加する,出席する,到着する,旅行する,1
10,1,evolve,進化する,成長する,証明する,示す,1
11,1,dive,飛び込む,跳ぶ,泳ぐ,歩く,1
12,1,leap,跳ぶ,飛び込む,歩く,急ぐ,1
13,1,arrive,到着する,出発する,戻る,近づく,1
14,1,depart,出発する,到着する,戻る,旅行する,1
15,1,sleep,眠る,座る,歩く,住んでいる,1
16,1,walk,歩く,急ぐ,旅行する,泳ぐ,1
17,1,hurry,急ぐ,歩く,戻る,出発する,1
18,1,return,戻る,到着する,出発する,参加する,1
19,1,travel,旅行する,歩く,訪問する,到着する,1
20,1,appear,現れる,存在する,見る,聞こえる,1
21,1,stare,じっと見る,見える,気づく,示す,1
22,1,rain,雨が降る,雪が降る,落ちる,現れる,1
23,1,snow,雪が降る,雨が降る,落ちる,凍る,1
24,1,become,～になる,～のままでいる,～に見える,証明する,1
25,1,turn,～になる,戻る,置く,示す,1
26,1,come,なる,行く,戻る,到着する,1
27,1,go,なる,来る,出発する,落ちる,1
28,1,fall,落ちる,上がる,跳ぶ,進化する,1
29,1,prove,証明する,示す,ほのめかす,評価する,1
30,1,look,～に見える,～に聞こえる,においがする,味がする,1
31,1,seem,～のようだ,～に見える,感じる,わかる,1
32,1,sound,～に聞こえる,～に見える,においがする,感じる,1
33,1,smell,においがする,味がする,聞こえる,見える,1
34,1,taste,味がする,においがする,感じる,見る,1
35,1,stay,～のままでいる,～になる,戻る,住んでいる,1
36,1,remain,～のままでいる,～になる,現れる,続く,1
37,1,believe,信じる,議論する,示す,ほのめかす,1
38,1,argue,議論する,信じる,示す,話し合う,1
39,1,indicate,示す,ほのめかす,証明する,評価する,1
40,1,imply,ほのめかす,示す,証明する,議論する,1
41,1,estimate,評価する,到達する,示す,理解する,1
42,1,reach,到達する,訪問する,近づく,入る,1
43,1,visit,訪問する,出席する,参加する,到達する,1
