id,section,word,correctAnswer,wrong1,wrong2,wrong3,points,explanation
1,50,travel,旅行する；進む；伝わる,仲間；つがいの片方,住む；生息する,泥,1,Section 50 target vocabulary
2,50,depart,出発する,権威；当局,想像上の,思い出させる,1,Section 50 target vocabulary
3,50,expedition,遠征；探検隊,反乱を起こす；反乱,置く；横たえる；産む；築く,請願書；請願する,1,Section 50 target vocabulary
4,50,voyage,航海；船旅,生じる；起こる,頻繁な；常連の,権威；当局,1,Section 50 target vocabulary
5,50,palace,宮殿,小説；作り話,乗船する；着手する,豊かにする,1,Section 50 target vocabulary
6,50,ancient,古代の；昔からの,職員；人事部,逃げる,小川；流れ,1,Section 50 target vocabulary
7,50,primitive,原始的な；原始時代の,戻る；返す；戻りの,反対に；対抗する；カウンター,思い出す；呼び戻す,1,Section 50 target vocabulary
8,50,archaeologist,考古学者,熱望；野望,相談する；診てもらう,汚れ；泥,1,Section 50 target vocabulary
9,50,leather,革；革製品,流体；流動的な,浮く；浮かぶ,授業料；指導,1,Section 50 target vocabulary
10,50,fur,毛；毛皮,洞察；見識,喜劇；コメディー,小説；作り話,1,Section 50 target vocabulary
11,50,tool,道具；手段,程度；範囲,逆にする；逆,熱中；熱意,1,Section 50 target vocabulary
12,50,instrument,器具；楽器,利用する；開発する,現代の,空想；幻想,1,Section 50 target vocabulary
13,50,Mediterranean,地中海の,航海；船旅,手頃な価格の,想像力に富む,1,Section 50 target vocabulary
14,50,mud,泥,輸入する；輸入品,同行する；伴う,職員；人事部,1,Section 50 target vocabulary
15,50,dirt,汚れ；泥,誤解,現代の,即座の；すぐ近くの,1,Section 50 target vocabulary
16,50,clay,粘土,立ち向かう；直面する,酷使する；過労,探偵；刑事,1,Section 50 target vocabulary
17,50,stream,小川；流れ,生じる；起こる,戻る；返す；戻りの,鍵を開ける；解き明かす,1,Section 50 target vocabulary
18,50,flee,逃げる,通勤・通学する,暴く；公表する,新人を募集する；新兵,1,Section 50 target vocabulary
19,50,tide,潮；潮流；傾向,誘惑する；したくさせる,議題,公の；大衆,1,Section 50 target vocabulary
20,50,refugee,難民,想像する；思いつく,流れ；現在の；流通している,埋める,1,Section 50 target vocabulary
21,50,refuge,避難所；保護,歩調；速度,経済的な；節約になる,蒸発する；徐々に消える,1,Section 50 target vocabulary
22,50,textile,織物；布地,明らかにする,着実に；安定して,預言者,1,Section 50 target vocabulary
23,50,valley,谷；流域,特徴；特性,考える；見なす,遠い；冷やかな,1,Section 50 target vocabulary
24,50,current,流れ；現在の；流通している,帝国,反応；意見；フィードバック,保護区域；聖域,1,Section 50 target vocabulary
25,50,breeze,そよ風,同様に；平等に,分別のある,ユーモア；機嫌,1,Section 50 target vocabulary
26,50,currency,通貨；普及,多様なもの；配列,流れ；現在の；流通している,混雑；渋滞,1,Section 50 target vocabulary
27,50,contemporary,現代の；同時代の人,よく知られた；親しい,統計；統計学,詩人,1,Section 50 target vocabulary
28,50,escape,逃げる；逃れる,着実に；安定して,残業；時間外で,思い出す；呼び戻す,1,Section 50 target vocabulary
29,51,cycle,周期；循環；自転車,ポキンと折る；素早く撮る,上がる；増える,鍵を開ける；解き明かす,1,Section 51 target vocabulary
30,51,circle,円；輪；集団,現代の,進歩；前進する,花婿,1,Section 51 target vocabulary
31,51,circulation,循環；流通,軌道；軌道を回る,頼る；依存する,乗り物；媒体,1,Section 51 target vocabulary
32,51,spontaneously,自然に；自発的に,和らげる；安心させる,接待；受付；反応；宴会,専門家集団；パネル,1,Section 51 target vocabulary
33,51,spontaneous,自然発生的な；自発的な,資格を得る；適任にする,個人の；私的な；民間の,喜劇；コメディー,1,Section 51 target vocabulary
34,51,voluntary,任意の；自発的な；無償の,同等の；相当する,職業；同業者集団,一握り；少数,1,Section 51 target vocabulary
35,51,heap,山；積み上げる,放送する；放送,花婿,最小限にする,1,Section 51 target vocabulary
36,51,pile,積み重ね；積み重ねる,芸術的な,埋める,思い出させる,1,Section 51 target vocabulary
37,51,array,多様なもの；配列,乗り物；媒体,即座の；促す,鍵を開ける；解き明かす,1,Section 51 target vocabulary
38,51,handful,一握り；少数,本物の；心からの,仲間；つがいの片方,設立；施設,1,Section 51 target vocabulary
39,51,fairly,かなり；公平に,固体の；しっかりした,逆にする；逆,宿泊施設；収容能力,1,Section 51 target vocabulary
40,51,solve,解決する,うわさ,解決する；定住する,対照；対比する,1,Section 51 target vocabulary
41,51,resolve,解決する；決意する,最新の；最近の,周期；循環；自転車,涙；引き裂く,1,Section 51 target vocabulary
42,51,steadily,着実に；安定して,展示する；表示する,小川；流れ,想像力に富む,1,Section 51 target vocabulary
43,51,length,長さ；期間,壮大な；素晴らしい,気晴らし；娯楽,超自然の,1,Section 51 target vocabulary
44,51,male,男性；オス,任意の；自発的な；無償の,親しい；詳しい,隠す,1,Section 51 target vocabulary
45,51,female,女性；メス,恐れて；心配して,壮大な；素晴らしい,親しい；詳しい,1,Section 51 target vocabulary
46,52,embark,乗船する；着手する,制限する；閉じ込める,意図；意向,集める；組み立てる,1,Section 52 target vocabulary
47,52,sail,帆走する；出航する,論争；紛争；反論する,加速する；促進する,設計；配置；レイアウト,1,Section 52 target vocabulary
48,52,navigate,航行する；うまく切り抜ける,公の；大衆,置く；横たえる；産む；築く,しるし；象徴,1,Section 52 target vocabulary
49,52,return,戻る；返す；戻りの,騎士,流体；流動的な,経済学,1,Section 52 target vocabulary
50,52,journey,旅行；行程,写真；写真を撮る,貴族；領主,利用する；活用する,1,Section 52 target vocabulary
51,52,commute,通勤・通学する,余剰；黒字,利用できる；行ける,ささいな,1,Section 52 target vocabulary
52,52,luggage,手荷物,保護区域；聖域,逆にする；逆,目的地,1,Section 52 target vocabulary
53,52,rise,上がる；増える,保険料；割増料金,熱心な；意図,帆走する；出航する,1,Section 52 target vocabulary
54,52,arise,生じる；起こる,感情移入；共感,そよ風,世界的な；全体的な,1,Section 52 target vocabulary
55,52,soar,急上昇する,移民；移住,まもなく；少し後で,遠い；冷やかな,1,Section 52 target vocabulary
56,52,dawn,夜明け；始まり,輸入する；輸入品,しみ；汚す,板；委員会；乗る,1,Section 52 target vocabulary
57,52,migration,移住；移動,職員；人事部,話し合う；議論する,自然発生的な；自発的な,1,Section 52 target vocabulary
58,52,immigration,移民；移住,好きで,出来事；事件,話し合う；議論する,1,Section 52 target vocabulary
59,52,inhabit,住む；生息する,謙虚な；粗末な,被験者；主題；受けやすい,瞬間；時,1,Section 52 target vocabulary
60,52,habitat,生息地；住みか,キリスト教徒；キリスト教の,世界的な；全体的な,古代の；昔からの,1,Section 52 target vocabulary
61,52,oblige,義務づける；強いる,板；委員会；乗る,なまり；アクセント,住む；生息する,1,Section 52 target vocabulary
62,52,duty,義務；任務,同等の；相当する,経済的な；節約になる,祝賀；お祝い,1,Section 52 target vocabulary
63,52,compel,強いる,個人の；私的な；民間の,対照；対比する,論争を呼ぶ,1,Section 52 target vocabulary
64,52,damp,湿った；じめじめした,誤解,移民；移住,特徴；特性,1,Section 52 target vocabulary
65,52,evaporate,蒸発する；徐々に消える,預金；堆積物；置く,輸送する；輸送,進歩；前進する,1,Section 52 target vocabulary
66,52,steam,蒸気,出発する,なまり；アクセント,方言,1,Section 52 target vocabulary
67,52,bubble,泡,写真；写真を撮る,発明する,酷使する；過労,1,Section 52 target vocabulary
68,52,breathe,呼吸する,楽しみ；娯楽,あこがれる；熱望する,急上昇する,1,Section 52 target vocabulary
69,52,sigh,ため息をつく,さらに；さらなる,認める；与える,劇的な；演劇の,1,Section 52 target vocabulary
70,52,cross,横切る；十字；混合物,仲間；つがいの片方,あこがれる；熱望する,放送する；放送,1,Section 52 target vocabulary
71,52,arrive,到着する,浮く；浮かぶ,まもなく；少し後で,絶望的な；必死の,1,Section 52 target vocabulary
72,52,destination,目的地,酷使する；過労,輸出する；輸出品,手段；方法,1,Section 52 target vocabulary
73,52,lay,置く；横たえる；産む；築く,前例のない,移行；推移,旅行する；進む；伝わる,1,Section 52 target vocabulary
74,52,layer,層,議論；話し合い,スキャンダル；醜聞,否定的な；消極的な；陰性の,1,Section 52 target vocabulary
75,52,layout,設計；配置；レイアウト,毛；毛皮,移民；移住,保護区域；聖域,1,Section 52 target vocabulary
76,52,dispose,処分する；配置する,それゆえに,想像する；思いつく,植民地；群生,1,Section 52 target vocabulary
77,53,scent,香り；におい,球；領域,円；輪；集団,半球,1,Section 53 target vocabulary
78,53,smell,におい；においがする；においをかぐ,隠す,解決する；決意する,男性；オス,1,Section 53 target vocabulary
79,53,instantly,すぐに；即座に,好意；支持,疑いなく；明らかに,野蛮な；けもの,1,Section 53 target vocabulary
80,53,shortly,まもなく；少し後で,積み重ね；積み重ねる,学部；教職員,芸術家,1,Section 53 target vocabulary
81,53,immediate,即座の；すぐ近くの,蓄積する；集める,蒸発する；徐々に消える,蒸気,1,Section 53 target vocabulary
82,53,transport,輸送する；輸送,群衆；群がる,試みる；試み,聖書；必読書,1,Section 53 target vocabulary
83,53,import,輸入する；輸入品,自動車,公の；大衆,被験者；主題；受けやすい,1,Section 53 target vocabulary
84,53,export,輸出する；輸出品,エーカー,職員；人事部,親しい；詳しい,1,Section 53 target vocabulary
85,53,vehicle,乗り物；媒体,手段；方法,感情移入；共感,埋める,1,Section 53 target vocabulary
86,53,automobile,自動車,設立する；確立する,漂う；漂流物,乗客,1,Section 53 target vocabulary
87,53,aboard,乗り物に乗って,美；美しさ,ささいな,資格を得る；適任にする,1,Section 53 target vocabulary
88,53,tiny,ごく小さい,洞察；見識,絶望的な；必死の,成し遂げる；獲得する,1,Section 53 target vocabulary
89,53,minimize,最小限にする,代わりに使う；代用品,達成；業績,義務；任務,1,Section 53 target vocabulary
90,53,particle,粒子,しるし；象徴,鮮明な；生き生きとした,自然発生的な；自発的な,1,Section 53 target vocabulary
91,53,molecule,分子,逮捕する；逮捕,道具；手段,利用する；開発する,1,Section 53 target vocabulary
92,53,revive,復活させる；生き返る,キリスト教徒；キリスト教の,涙；引き裂く,利用する；開発する,1,Section 53 target vocabulary
93,53,amusement,楽しみ；娯楽,逆にする；逆,航海；船旅,多様なもの；配列,1,Section 53 target vocabulary
94,53,refresh,元気づける；さわやかにする,宣教師,対応する物；同等の相手,循環；流通,1,Section 53 target vocabulary
95,53,resume,再開する,涙；引き裂く,山；積み上げる,小川；流れ,1,Section 53 target vocabulary
96,53,memory,記憶；思い出,世界的な；全体的な,しるし；兆候,多様なもの；配列,1,Section 53 target vocabulary
97,53,region,地域；分野,移動させる；振り込む；転送する,範囲；視野,現代の,1,Section 53 target vocabulary
98,53,district,地区；地域,立場；我慢する,疑いなく；明らかに,反対する,1,Section 53 target vocabulary
99,53,sense,感覚；意味；分別,手段；方法,呼吸する,言語の；言語学の,1,Section 53 target vocabulary
100,53,sensible,分別のある,外側；外の,同様に；平等に,得る；獲得する,1,Section 53 target vocabulary
101,53,nonsense,ばかげたこと,覚えている；忘れずにする,政権；体制,得る；獲得する,1,Section 53 target vocabulary
102,53,wire,電線；電報を打つ,想像する；思いつく,主に；たいていは,地区；地域,1,Section 53 target vocabulary
103,53,float,浮く；浮かぶ,戻る；返す；戻りの,旅行；行程,群衆；群がる,1,Section 53 target vocabulary
104,53,drift,漂う；漂流物,不足；赤字,接待；受付；反応；宴会,職員；人事部,1,Section 53 target vocabulary
105,53,swing,揺れる；揺れ,中央の；中心的な,謙虚な；粗末な,瞑想；熟考,1,Section 53 target vocabulary
106,54,direct,直接の；向ける；指導する,埋める,逃げる；逃れる,こする；なんとか進む,1,Section 54 target vocabulary
107,54,administer,管理する；施行する,導く；通じる；結果になる,固執する；続く,通勤・通学する,1,Section 54 target vocabulary
108,54,supervise,監督する；監視する,自然に；自発的に,ぜいたく；高級品,騒がしい,1,Section 54 target vocabulary
109,54,panel,専門家集団；パネル,逮捕する；逮捕,言葉の；口頭の,反応；意見；フィードバック,1,Section 54 target vocabulary
110,54,intimate,親しい；詳しい,夜明け；始まり,ありそうもない,感覚；意味；分別,1,Section 54 target vocabulary
111,54,oppose,反対する,地区；地域,経済的な；節約になる,熱中；熱意,1,Section 54 target vocabulary
112,54,confront,立ち向かう；直面する,目的地,職員；人事部,元気づける；さわやかにする,1,Section 54 target vocabulary
113,54,counter,反対に；対抗する；カウンター,現代の,即座の；促す,ありそうもない,1,Section 54 target vocabulary
114,54,reverse,逆にする；逆,かなり；公平に,いとわない；進んでする,想像する；思いつく,1,Section 54 target vocabulary
115,54,rebel,反逆者；反抗する,反応；意見；フィードバック,無限の；終わりのない,聖書；必読書,1,Section 54 target vocabulary
116,54,revolt,反乱を起こす；反乱,通勤・通学する,通貨；普及,見方；見通し,1,Section 54 target vocabulary
117,54,vivid,鮮明な；生き生きとした,手段；方法,回転する；紡ぐ,考古学者,1,Section 54 target vocabulary
118,54,familiar,よく知られた；親しい,航行する；うまく切り抜ける,同情；共感,予期する；期待する,1,Section 54 target vocabulary
119,54,tear,涙；引き裂く,範囲；視野,自動車,主に；たいていは,1,Section 54 target vocabulary
