id,section,word,correctAnswer,choice1,choice2,choice3,points,explanation
1,01 古典文法事始め,活用とは何か。最も適切な説明を選べ。,語が下に続く語や文中での働きに応じて形を変えること,語の意味を現代語に直すこと,主語を省略すること,漢字を仮名に直すこと,1,古典文法では、用言や助動詞が未然形・連用形などに形を変えることを活用という。
2,01 古典文法事始め,活用形のうち、文を言い切る形はどれか。,終止形,未然形,連用形,已然形,1,終止形は文を終えるときの基本形。
3,01 古典文法事始め,活用形のうち、「ば」が付いて確定条件を作りやすい形はどれか。,已然形,未然形,命令形,連体形,1,已然形＋ばは「〜ので・〜すると」の意味になりやすい。
4,01 古典文法事始め,活用形のうち、体言に続く形はどれか。,連体形,連用形,命令形,未然形,1,連体形は名詞などの体言を修飾する。
5,01 古典文法事始め,活用形のうち、打消の助動詞「ず」が付く基本形はどれか。,未然形,終止形,已然形,命令形,1,「ず」は未然形接続の助動詞。
6,02 動詞（一）音便,音便とは何か。,発音しやすくするために語形が変化すること,意味が反対になること,敬語に変わること,係り結びが起こること,1,音便は発音上の変化で、イ音便・ウ音便・撥音便・促音便などがある。
7,02 動詞（一）音便,「書きて」が「書いて」となる変化は何音便か。,イ音便,ウ音便,撥音便,促音便,1,キがイに変わるのでイ音便。
8,02 動詞（一）音便,「思ひて」が「思うて」となる変化は何音便か。,ウ音便,イ音便,撥音便,促音便,1,ハ行四段などでウ音便が起こることがある。
9,02 動詞（一）音便,「飛びて」が「飛んで」となる変化は何音便か。,撥音便,促音便,イ音便,ウ音便,1,「び」が「ん」に変わるので撥音便。
10,02 動詞（一）音便,「ありて」が「ありて」のまま変化しない場合、最も適切なのはどれか。,音便が起きていない,必ずイ音便である,必ずウ音便である,已然形である,1,音便はすべての語に必ず起こるわけではない。
11,03 動詞（二）活用の種類,四段活用の特徴として最も適切なものを選べ。,ア・イ・ウ・エの四段に活用する,ア段だけで活用する,未然形と連用形が同じになる,命令形が必ず「よ」になる,1,四段活用は語尾がア・イ・ウ・エ段に変化する。
12,03 動詞（二）活用の種類,上一段活用の代表語として適切なものを選べ。,見る,書く,死ぬ,蹴る,1,「見る」は上一段活用の代表語。
13,03 動詞（二）活用の種類,下二段活用の特徴として適切なものを選べ。,エ段を中心に活用する,ア段だけで活用する,活用しない,命令形が必ず「ろ」になる,1,下二段はエ段を中心に活用する。
14,03 動詞（二）活用の種類,カ行変格活用の語として適切なものを選べ。,来,す,あり,見る,1,カ変は「来」の一語が基本。
15,03 動詞（二）活用の種類,サ行変格活用の語として適切なものを選べ。,す,来,あり,寝,1,サ変は「す」「おはす」などを押さえる。
