ID,Word,Correct Answer,Wrong1,Wrong2,Wrong3,Points
1,lie,いる,置く,上がる,存在する,1
2,lay,置く,いる,上げる,到着する,1
3,lie,うそをつく,いる,置く,証明する,1
4,rise,上がる,上げる,落ちる,進化する,1
5,raise,上げる,上がる,持ってくる,示す,1
6,grow,成長する,進化する,存在する,戻る,1
7,bring,持ってくる,送る,渡す,訪問する,1
8,exist,存在する,現れる,所属している,住んでいる,1
9,participate,参加する,出席する,到着する,旅行する,1
10,evolve,進化する,成長する,証明する,示す,1
11,dive,飛び込む,跳ぶ,泳ぐ,歩く,1
12,leap,跳ぶ,飛び込む,歩く,急ぐ,1
13,arrive,到着する,出発する,戻る,近づく,1
14,depart,出発する,到着する,戻る,旅行する,1
15,sleep,眠る,座る,歩く,住んでいる,1
16,walk,歩く,急ぐ,旅行する,泳ぐ,1
17,hurry,急ぐ,歩く,戻る,出発する,1
18,return,戻る,到着する,出発する,参加する,1
19,travel,旅行する,歩く,訪問する,到着する,1
20,appear,現れる,存在する,見る,聞こえる,1
21,stare,じっと見る,見える,気づく,示す,1
22,rain,雨が降る,雪が降る,落ちる,現れる,1
23,snow,雪が降る,雨が降る,落ちる,凍る,1
24,become,～になる,～のままでいる,～に見える,証明する,1
25,turn,～になる,戻る,置く,示す,1
26,come,なる,行く,戻る,到着する,1
27,go,なる,来る,出発する,落ちる,1
28,fall,落ちる,上がる,跳ぶ,進化する,1
29,prove,証明する,示す,ほのめかす,評価する,1
30,look,～に見える,～に聞こえる,においがする,味がする,1
31,seem,～のようだ,～に見える,感じる,わかる,1
32,sound,～に聞こえる,～に見える,においがする,感じる,1
33,smell,においがする,味がする,聞こえる,見える,1
34,taste,味がする,においがする,感じる,見る,1
35,stay,～のままでいる,～になる,戻る,住んでいる,1
36,remain,～のままでいる,～になる,現れる,続く,1
37,believe,信じる,議論する,示す,ほのめかす,1
38,argue,議論する,信じる,示す,話し合う,1
39,indicate,示す,ほのめかす,証明する,評価する,1
40,imply,ほのめかす,示す,証明する,議論する,1
41,estimate,評価する,到達する,示す,理解する,1
42,reach,到達する,訪問する,近づく,入る,1
43,visit,訪問する,出席する,参加する,到達する,1
44,enter,入る,参加する,出発する,到着する,1
45,approach,近づく,到達する,訪問する,出発する,1
46,join,参加する,出席する,訪問する,答える,1
47,attend,出席する,参加する,訪問する,答える,1
48,answer,答える,話し合う,示す,教える,1
49,marry,結婚する,参加する,話し合う,信じる,1
50,discuss,話し合う,議論する,答える,示す,1
51,follow,後を追う,近づく,参加する,戻る,1
52,give,与える,送る,見せる,渡す,1
53,teach,教える,見せる,書く,読む,1
54,show,見せる,教える,送る,示す,1
55,send,送る,渡す,与える,持ってくる,1
56,pass,渡す,送る,与える,置く,1
57,sing,歌う,書く,読む,料理する,1
58,write,書く,読む,歌う,答える,1
59,read,読む,書く,理解する,聞こえる,1
60,buy,買う,料理する,盗む,持ってくる,1
61,cook,料理する,買う,書く,作る,1
62,take,かかる,費用がかかる,取る,与える,1
63,cost,かかる,取る,買う,評価する,1
64,name,名づける,描く,みなす,示す,1
65,understand,理解する,気づく,信じる,わかる,1
66,steal,盗む,買う,持ってくる,渡す,1
67,open,開く,置く,切る,始める,1
68,see,見る,聞こえる,感じる,気づく,1
69,hear,聞こえる,見る,感じる,味がする,1
70,feel,感じる,聞こえる,見る,においがする,1
71,find,わかる,見つける,理解する,気づく,1
72,perceive,気づく,理解する,見る,聞こえる,1
73,make,～させる,許可する,頼む,期待する,1
74,have,～させる,保つ,与える,持っている,1
75,let,～させる,許可する,強いる,頼む,1
76,keep,保つ,ほったらかす,～させる,置く,1
77,leave,ほったらかす,保つ,置く,出発する,1
78,get,～させる,得る,許可する,期待する,1
79,ask,頼む,許可する,促す,助言する,1
80,allow,許可する,強いる,頼む,励ます,1
81,permit,許可する,可能にする,強いる,期待する,1
82,enable,可能にする,許可する,権利を与える,促す,1
83,force,強いる,許可する,励ます,助言する,1
84,advise,助言する,励ます,促す,期待する,1
85,encourage,励ます,助言する,促す,強いる,1
86,expect,期待する,決心する,促す,許可する,1
87,determine,決心する,期待する,強いる,助言する,1
88,urge,促す,励ます,許可する,頼む,1
89,entitle,権利を与える,可能にする,許可する,みなす,1
90,help,手伝う,頼む,励ます,許可する,1
91,regard,みなす,描く,見る,名づける,1
92,view,みなす,見る,描く,示す,1
93,describe,描く,みなす,示す,説明する,1
94,already,すでに,まだ,かつて,今まで,1
95,yet,まだ,すでに,かつて,決して,1
96,since,～今まで,～するとき,～する間,～した後に,1
97,ever,これまでに,すでに,まだ,かつて,1
98,once,かつて,すでに,まだ,今まで,1
99,die,死ぬ,住んでいる,座る,眠る,1
100,sit,座る,住んでいる,眠る,歩く,1
101,cut,切る,置く,開く,盗む,1
102,put,置く,切る,開く,渡す,1
103,begin,始める,終える,戻る,開く,1
104,swim,泳ぐ,飛び込む,歩く,スケートをする,1
105,skate,スケートをする,スキーする,泳ぐ,キャンプする,1
106,ski,スキーする,スケートをする,ハイキングをする,泳ぐ,1
107,camp,キャンプする,ハイキングをする,旅行する,歩く,1
108,hike,ハイキングをする,キャンプする,歩く,旅行する,1
