id,section,word,correctAnswer,choice2,choice3,choice4
chunk_001,TOEIC_email,"If you leave a message, we will return your call ( ? ).",as soon as possible,as soon as,soon as possible,in the other words
chunk_002,GENERAL_linkers,"If you leave a message, we will return your call ( ? ) possible.",as soon as,as soon,soon as,in the other words
chunk_003,GENERAL_linkers,"Be sure to include your name, daytime telephone number, and ( ? ) your call. .",the reason for,the reason to,the reason,reason for
chunk_004,GENERAL_verb_patterns,"He'll teach you everything you ( ? ) know about using this unique, time-saving software program.",need to,need for,in the other words,on the result
chunk_005,TOEIC_picture,( ? ) a man and a woman in the supermarket.,This is a picture of,This is a picture for,This is a picture,is a picture of
chunk_006,TOEIC_picture_action,The man ( ? ) a baseball cap and a black jacket.,is wearing,in the other words,on the result,for these reason
chunk_007,TOEIC_picture_action,He ( ? ) a bag of vegetables with his right hand.,is picking up,is picking,picking up,in the other words
chunk_008,TOEIC_picture,"Behind the man, ( ? ) a woman wearing a green, long-sleeved shirt and black pants.",there is,There are,There be,in the other words
chunk_009,TOEIC_picture,"( ? ) a lot of different fresh vegetables on the shelves, such as celery, lettuce, and tomatoes. .",There are,There is,There be,in the other words
chunk_010,GENERAL_linkers,"There are ( ? ) different fresh vegetables on the shelves, such as celery, lettuce, and tomatoes. .",a lot of,a lot for,a lot,lot of
chunk_011,TOEIC_picture_action,"I don't know the exact name of the vegetable the woman ( ? ), but she is looking at some kind of vegetable. .",is holding,in the other words,on the result,for these reason
chunk_012,TOEIC_picture_action,"I don't know the exact name of the vegetable the woman is holding, but she ( ? ) some kind of vegetable. .",is looking at,is looking,looking at,in the other words
chunk_013,TOEIC_repair_prediction,"( ? ) the vegetable the woman is holding, but she is looking at some kind of vegetable. .",I don't know the exact name of,I don't know the exact name for,I don't know the exact name,don't know the exact name of
chunk_014,TOEIC_repair_prediction,"I don't know the exact name of the vegetable the woman is holding, but she is looking at ( ? ) vegetable. .",some kind of,some kind for,some kind,kind of
chunk_015,TOEIC_picture,( ? ) two men riding on a bicycle. .,This is a picture of,This is a picture for,This is a picture,is a picture of
chunk_016,TOEIC_picture,( ? ) a beach in a resort area. .,This photograph shows,This photograph,photograph shows,in the other words
chunk_017,TOEIC_picture,( ? ) an airport. .,This photograph was taken at,This photograph was taken,photograph was taken at,in the other words
chunk_018,TOEIC_picture,"( ? ), I can see some people visiting a museum. .",In this picture,on this picture,at this picture,In this
chunk_019,TOEIC_picture,"In this picture, ( ? ) some people visiting a museum. .",I can see,I can,can see,in the other words
chunk_020,TOEIC_picture,"( ? ), there are two whiteboards set next to each other on the wall. .",In the background of the picture,on the background of the picture,at the background of the picture,In the background for the picture
chunk_021,TOEIC_picture,"In the background of the picture, ( ? ) two whiteboards set next to each other on the wall. .",there are,There is,There be,in the other words
chunk_022,TOEIC_picture_action,"In the background of the picture, there are two whiteboards set ( ? ) each other on the wall. .",next to,next for,in the other words,on the result
chunk_023,TOEIC_picture,"( ? ), one of the female students is standing behind the projector and giving a presentation on the class. .",On the right side of the picture,in the right side of the picture,at the right side of the picture,On the right side for the picture
chunk_024,TOEIC_picture,"( ? ), I can see a male student listening to the presentation in front of the screen. .",In the middle of the picture,on the middle of the picture,at the middle of the picture,In the middle for the picture
chunk_025,TOEIC_picture,"In the middle of the picture, ( ? ) a male student listening to the presentation in front of the screen. .",I can see,I can,can see,in the other words
chunk_026,TOEIC_picture_action,"In the middle of the picture, I can see a male student listening to the presentation ( ? ) the screen. .",in front of,on front of,at front of,in front for
chunk_027,TOEIC_picture,"( ? ), a female student is taking notes during the presentation. .",In the foreground of the picture,on the foreground of the picture,at the foreground of the picture,In the foreground for the picture
chunk_028,TOEIC_picture_action,"In the foreground of the picture, a female student ( ? ) during the presentation. .",is taking notes,is taking,taking notes,in the other words
chunk_029,TOEIC_repair_prediction,( ? ) a picture of a musical performance. .,It looks like,It looks,looks like,in the other words
chunk_030,TOEIC_picture_action,I think three customers ( ? ) to buy a newly released product. .,are lined up,are lined,lined up,in the other words
chunk_031,TOEIC_picture_action,The two people are probably ( ? ) the train. .,trying to catch,trying for catch,trying to,to catch
chunk_032,TOEIC_repair_prediction,The two people are ( ? ) catch the train. .,probably trying to,probably trying for,probably trying,trying to
chunk_033,GENERAL_verb_patterns,The two people are probably ( ? ) catch the train. .,trying to,trying for,in the other words,on the result
chunk_034,GENERAL_linkers,A family is eating ( ? ) sitting at a table outside. .,while,in the other words,on the result,for these reason
chunk_035,TOEIC_picture_action,A woman wearing glasses ( ? ) one of her daughters with very long hair. .,is sitting across from,is sitting across of,is sitting across,sitting across from
chunk_036,TOEIC_picture_action,"A boy with glasses ( ? ) his father and his sister, facing toward his mother. .",is sitting between,is sitting,sitting between,in the other words
chunk_037,TOEIC_picture_action,Another daughter ( ? ) her mother. .,sits next to,sits next for,sits next,next to
chunk_038,TOEIC_picture,( ? ) a couple of plastic bottles on the table. .,I can see,I can,can see,in the other words
chunk_039,GENERAL_linkers,I can see ( ? ) plastic bottles on the table. .,a couple of,a couple for,a couple,couple of
chunk_040,TOEIC_picture,( ? ) a wooden bench beside the table. .,There is,There are,There be,in the other words
chunk_041,TOEIC_picture_action,Many vehicles ( ? ) along the sidewalk. .,have been parked,have been,been parked,in the other words
chunk_042,TOEIC_picture_action,A man and a woman ( ? ) an aisle in the grocery store. .,are standing in,are standing,standing in,in the other words
chunk_043,TOEIC_repair_prediction,( ? ) they are enjoying selecting vegetables. .,They look like,They look,look like,in the other words
chunk_044,TOEIC_picture_action,Both of them ( ? ) vegetables .,are looking at,are looking,looking at,in the other words
chunk_045,TOEIC_picture_action,The man ( ? ) glasses and he has a mustache. .,is wearing,in the other words,on the result,for these reason
chunk_046,TOEIC_repair_prediction,The man ( ? ) a bag of vegetables because it's fresh. .,may be choosing,may be,be choosing,in the other words
chunk_047,TOEIC_repair_prediction,The man ( ? ) looking at how fresh the vegetables are. .,seems to be,seems for be,seems to,to be
chunk_048,TOEIC_picture,I see a number of people gathered outsiders ( ? ).,in this picture,on this picture,at this picture,in this
chunk_049,GENERAL_linkers,I see ( ? ) people gathered outsiders in this picture.,a number of,a number for,a number,number of
chunk_050,TOEIC_repair_prediction,"( ? ) a weekend day, and they are enjoying the day off of work.",Perhaps it is,Perhaps it,it is,in the other words
chunk_051,TOEIC_picture_action,One man on the left ( ? ) a bicycle.,is holding,in the other words,on the result,for these reason
chunk_052,TOEIC_picture,"( ? ), some men wearing sunglasses are talking about something.",To the right,for the right,To the,the right
chunk_053,TOEIC_picture,"( ? ), two people sit together. .",Off to the side,Off for the side,Off to the,to the side
chunk_054,TOEIC_picture,"( ? ), uh, there are two people - a man and a woman.",In this picture,on this picture,at this picture,In this
chunk_055,TOEIC_picture,"In this picture, uh, ( ? ) two people - a man and a woman.",there are,There is,There be,in the other words
chunk_056,TOEIC_picture_action,They are ( ? ) a fire.,next to,next for,in the other words,on the result
