id,section,word,correctAnswer,choice1,choice2,choice3,points,explanation
1,古典単語,あはれなり,しみじみと趣がある,腹が立つ,忙しい,身分が高い,1,感動
2,古典単語,をかし,趣深い,悲しい,苦しい,眠い,1,風流
3,古典単語,ありがたし,めったにない,ありがたい,恐ろしい,退屈だ,1,現代語注意
4,古典単語,いみじ,非常に,少し,全くない,静かだ,1,程度強調
5,古典単語,うつくし,かわいい,美しい,みにくい,寂しい,1,現代語注意
6,古典単語,おぼつかなし,はっきりしない,嬉しい,落ち着く,珍しい,1,不明瞭
7,古典単語,かなし,いとしい,悲しい,憎い,弱い,1,現代語注意
8,古典単語,くちをし,残念だ,嬉しい,恐ろしい,高い,1,頻出
9,古典単語,こころにくし,奥ゆかしい,腹立たしい,寂しい,軽い,1,上品
10,古典単語,すさまじ,興ざめだ,美しい,楽しい,優しい,1,風情なし
11,古典単語,つれづれなり,退屈だ,忙しい,悲しい,苦しい,1,徒然草頻出
12,古典単語,なまめかし,優美だ,荒々しい,みにくい,貧しい,1,上品
13,古典単語,ねんごろなり,熱心だ,冷たい,短い,高い,1,親密
14,古典単語,あやし,身分が低い,怪しい,美しい,立派だ,1,現代語注意
15,古典単語,やさし,奥ゆかしい,優しい,弱い,簡単だ,1,恥ずかしい場合も
16,古典単語,らうたし,かわいい,強い,悲しい,厳しい,1,愛情
17,古典単語,わびし,つらい,嬉しい,大きい,派手だ,1,苦痛
18,古典単語,をこなり,ばかだ,賢い,静かだ,若い,1,愚か
19,古典単語,めでたし,すばらしい,苦しい,汚い,悲しい,1,賞賛
20,古典単語,よし,身分が高い,良い,短い,面白い,1,注意
21,古典単語,あふ,男女が契る,会う,争う,祈る,1,頻出
22,古典単語,ありく,歩き回る,座る,走る,寝る,1,移動
23,古典単語,いらふ,返事する,笑う,怒る,逃げる,1,会話
24,古典単語,おこたる,病気が治る,怠ける,遅れる,忘れる,1,現代語注意
25,古典単語,おどろく,目を覚ます,驚く,泣く,走る,1,現代語注意
26,古典単語,ののしる,大騒ぎする,悪口を言う,祈る,隠れる,1,頻出
27,古典単語,はべり,おります,走る,食べる,泣く,1,丁寧語
28,古典単語,みゆ,見える,隠れる,消える,歩く,1,受身も
29,古典単語,ながむ,物思いにふける,眺める,走る,探す,1,現代語注意
30,古典単語,しのぶ,耐える,笑う,戦う,祈る,1,忍耐
31,古典単語,いとほし,気の毒だ,愛しい,恐ろしい,高い,1,同情
32,古典単語,かたはらいたし,きまりが悪い,痛い,嬉しい,眠い,1,頻出
33,古典単語,しるし,はっきりしている,白い,静かだ,珍しい,1,明白
34,古典単語,あさまし,驚きあきれる,浅い,悲しい,忙しい,1,頻出
35,古典単語,あたらし,もったいない,新しい,珍しい,正しい,1,現代語注意
36,古典単語,いとけなし,幼い,愛しい,強い,醜い,1,幼少
37,古典単語,おぼえ,評判,記憶,能力,手紙,1,頻出
38,古典単語,けしき,様子,景色,光,音,1,現代語注意
39,古典単語,こころざし,愛情,志望,地位,願い,1,恋愛文脈
40,古典単語,ちぎり,約束,契約書,裏切り,運命,1,恋愛
41,古典単語,なさけ,風流心,同情,怒り,権力,1,文脈注意
42,古典単語,ゆかり,縁故,床,旅行,悲しみ,1,源氏頻出
43,古典単語,うへ,天皇,上,屋根,場所,1,重要
44,古典単語,おほやけ,朝廷,公園,国民,法律,1,政治
45,古典単語,みやこ,京都,首都,田舎,市場,1,古典頻出
46,古典単語,かげ,光,影,姿,声,1,注意
47,古典単語,ことわり,当然のこと,断り,法律,謝罪,1,頻出
48,古典単語,ためし,前例,試験,挑戦,勝負,1,注意
49,古典単語,よそひ,身なり,よそ見,旅,住居,1,服装
50,古典単語,ありさま,様子,存在,人生,状態異常,1,頻出
51,古典単語,あながち,むりに,偶然,静かに,非常に,1,強引に
52,古典単語,あへて,まったく,急いで,少し,偶然,1,打消と頻出
53,古典単語,いと,とても,少し,全く,静かに,1,程度
54,古典単語,うしろめたし,気がかりだ,後ろにある,嬉しい,弱い,1,不安
55,古典単語,おぼろけなり,ありふつうだ,ぼんやりしている,珍しい,美しい,1,頻出
56,古典単語,かたじけなし,もったいない,悲しい,ありがたい,忙しい,1,恐縮
57,古典単語,さうざうし,物足りない,騒がしい,忙しい,悲しい,1,退屈
58,古典単語,すごし,気味が悪い,すごい,強い,珍しい,1,現代語注意
59,古典単語,そらなり,うわの空だ,空である,飛ぶ,晴れる,1,注意
60,古典単語,なつかし,親しみやすい,懐かしい,悲しい,暑い,1,現代語注意
61,古典単語,はしたなし,中途半端だ,恥ずかしい,悲しい,騒がしい,1,頻出
62,古典単語,ひがひがし,ひねくれている,弱々しい,まぶしい,悲しい,1,性格
63,古典単語,びんなし,都合が悪い,便利だ,貧しい,危険だ,1,不都合
64,古典単語,むくつけし,気味が悪い,美しい,優しい,静かだ,1,外見
65,古典単語,めやすし,見苦しくない,見やすい,簡単だ,静かだ,1,評価
66,古典単語,ゆゆし,重大だ,ゆっくりだ,静かだ,優しい,1,不吉も
67,古典単語,よしなし,つまらない,良い,美しい,珍しい,1,頻出
68,古典単語,らうらうじ,洗練されている,かわいい,荒々しい,弱い,1,上品
69,古典単語,をさをさ,ほとんど〜ない,たくさん,急いで,完全に,1,打消
70,古典単語,よに,非常に,世の中に,静かに,簡単に,1,副詞
71,古典単語,まうく,準備する,参上する,祈る,隠れる,1,用意
72,古典単語,ゐる,座る,いる,走る,笑う,1,動詞注意
73,古典単語,うつろふ,色あせる,移動する,眠る,祈る,1,無常
74,古典単語,おこなふ,仏道修行する,行う,勉強する,争う,1,宗教
75,古典単語,ぐす,連れて行く,具を使う,泣く,急ぐ,1,同行
76,古典単語,すむ,澄む,住む,進む,止まる,1,注意
77,古典単語,たのむ,頼りにする,お願いする,戦う,笑う,1,依存
78,古典単語,まどふ,途方に暮れる,迷う,回る,踊る,1,混乱
79,古典単語,やる,遠くへ送る,やる,与える,走る,1,視線
80,古典単語,わたる,一面に広がる,渡る,歩く,超える,1,頻出
81,古典単語,あからさまなり,ちょっとだ,明らかだ,短い,静かだ,1,一時的
82,古典単語,あぢきなし,つまらない,味がない,美しい,簡単だ,1,頻出
83,古典単語,あてなり,上品だ,高価だ,危険だ,新しい,1,高貴
84,古典単語,あやにくなり,意地が悪い,怪しい,美しい,静かだ,1,皮肉
85,古典単語,いぶせし,気が晴れない,煙たい,明るい,高い,1,不快
86,古典単語,うし,つらい,牛,強い,悲しい,1,形容詞
87,古典単語,おいらかなり,おだやかだ,老いている,弱い,悲しい,1,穏やか
88,古典単語,こころづきなし,気に入らない,恋しい,悲しい,静かだ,1,嫌悪
89,古典単語,しどけなし,だらしない,静かだ,美しい,忙しい,1,乱雑
90,古典単語,すくよかなり,がっしりしている,少ない,優しい,弱い,1,体格
91,古典単語,すさまじ,殺風景だ,素晴らしい,静かだ,忙しい,1,再頻出
92,古典単語,そねむ,ねたむ,備える,争う,愛する,1,嫉妬
93,古典単語,たしなむ,心をひかれる,慎む,学ぶ,鍛える,1,好む
94,古典単語,ついゐる,付き添う,座る,捕まえる,笑う,1,同行
95,古典単語,なほざりなり,いいかげんだ,丁寧だ,悲しい,優しい,1,不誠実
96,古典単語,なのめなり,中途半端だ,斜めだ,美しい,珍しい,1,不十分
97,古典単語,はかなし,頼りない,儚い,短い,高い,1,無常
98,古典単語,むげなり,ひどい,無限だ,素晴らしい,静かだ,1,程度
99,古典単語,らうがはし,利口ぶっている,かわいい,美しい,弱い,1,批判
100,古典単語,ろうたし,かわいい,老いている,弱い,悲しい,1,頻出
