id,section,question,correctAnswer,choice1,choice2,choice3
1,Chapter3：UG・生得説,the innate system of abstract principles underlying all human languages,Universal Grammar,Positive Evidence,Bottleneck Hypothesis,Interface Hypothesis
2,Chapter3：UG・生得説,features shared by all human languages,Principles,Parameters,Negative Evidence,Lexical Categories
3,Chapter3：UG・生得説,settings that explain variation across languages such as OV and VO,Parameters,Principles,Positive Evidence,Functional Categories
4,Chapter3：UG・生得説,the internal system of language knowledge in an individual learner,I-language,E-language,Negative Evidence,Accessibility Hierarchy
5,Chapter3：UG・生得説,learners know more about grammar than the input alone can explain,Poverty of the Stimulus,Bottleneck Hypothesis,Feature Reassembly Hypothesis,Discourse Hypothesis
6,Chapter3：UG・証拠,grammatical input that learners hear or read,Positive Evidence,Negative Evidence,Parameter,Representational Deficit
7,Chapter3：UG・証拠,information that tells learners their utterance is incorrect,Negative Evidence,Positive Evidence,Principle,Full Access
8,Chapter3：UG・証拠,"negative evidence is rare, so input alone cannot explain grammar acquisition",Poverty of the Stimulus,Prosodic Transfer Hypothesis,Accessibility Hierarchy,Form-to-Function Approach
9,Chapter3：UG Access,L1 and adult L2 acquisition are fundamentally different,Fundamental Difference Hypothesis,Full Access Hypothesis,Bottleneck Hypothesis,Interface Hypothesis
10,Chapter3：UG Access,adult L2 learners do not have direct access to UG,Fundamental Difference Hypothesis,Full Access Hypothesis,Feature Reassembly Hypothesis,Positive Evidence
11,Chapter3：UG Access,adult L2 learners can still use UG when acquiring an L2,Full Access Hypothesis,No Access Hypothesis,Negative Evidence,Prosodic Transfer Hypothesis
12,Chapter3：UG Access,L2 learners may access UG only through their L1 grammar,Partial Access through L1,Full Access,No Access,Poverty of the Stimulus
13,Chapter3：UG Access,UG is not available at all after the L1 is learned,No Access Hypothesis,Full Access Hypothesis,Principles and Parameters,Feature Reassembly
14,Chapter3：Minimalist Program,the elemental units that make up lexical items,Features,Parameters,Positive Evidence,Accessibility Hierarchy
15,Chapter3：Minimalist Program,word classes such as nouns verbs and adjectives,Lexical Categories,Functional Categories,Uninterpretable Features,Negative Evidence
16,Chapter3：Minimalist Program,grammatical elements such as tense agreement and aspect,Functional Categories,Lexical Categories,Positive Evidence,Typological Universals
17,Chapter3：Features,features absent from the L1 are difficult to acquire in the L2,Representational Deficit Hypothesis,Missing Surface Inflection Hypothesis,Interface Hypothesis,Positive Evidence
18,Chapter3：Features,Japanese does not have articles so a learner says I bought book,Representational Deficit Hypothesis,Bottleneck Hypothesis,Accessibility Hierarchy,Full Access Hypothesis
