Word,Correct Answer,Wrong1,Wrong2,Wrong3,Points
lie,いる,置く,上がる,存在する,1
lay,置く,いる,上げる,到着する,1
lie,うそをつく,いる,置く,証明する,1
rise,上がる,上げる,落ちる,進化する,1
raise,上げる,上がる,持ってくる,示す,1
grow,成長する,進化する,存在する,戻る,1
bring,持ってくる,送る,渡す,訪問する,1
exist,存在する,現れる,所属している,住んでいる,1
participate,参加する,出席する,到着する,旅行する,1
evolve,進化する,成長する,証明する,示す,1
dive,飛び込む,跳ぶ,泳ぐ,歩く,1
leap,跳ぶ,飛び込む,歩く,急ぐ,1
arrive,到着する,出発する,戻る,近づく,1
depart,出発する,到着する,戻る,旅行する,1
sleep,眠る,座る,歩く,住んでいる,1
walk,歩く,急ぐ,旅行する,泳ぐ,1
hurry,急ぐ,歩く,戻る,出発する,1
return,戻る,到着する,出発する,参加する,1
travel,旅行する,歩く,訪問する,到着する,1
appear,現れる,存在する,見る,聞こえる,1
stare,じっと見る,見える,気づく,示す,1
rain,雨が降る,雪が降る,落ちる,現れる,1
snow,雪が降る,雨が降る,落ちる,凍る,1
become,～になる,～のままでいる,～に見える,証明する,1
turn,～になる,戻る,置く,示す,1
come,なる,行く,戻る,到着する,1
go,なる,来る,出発する,落ちる,1
fall,落ちる,上がる,跳ぶ,進化する,1
prove,証明する,示す,ほのめかす,評価する,1
look,～に見える,～に聞こえる,においがする,味がする,1
seem,～のようだ,～に見える,感じる,わかる,1
sound,～に聞こえる,～に見える,においがする,感じる,1
smell,においがする,味がする,聞こえる,見える,1
taste,味がする,においがする,感じる,見る,1
stay,～のままでいる,～になる,戻る,住んでいる,1
remain,～のままでいる,～になる,現れる,続く,1
believe,信じる,議論する,示す,ほのめかす,1
argue,議論する,信じる,示す,話し合う,1
indicate,示す,ほのめかす,証明する,評価する,1
imply,ほのめかす,示す,証明する,議論する,1
estimate,評価する,到達する,示す,理解する,1
reach,到達する,訪問する,近づく,入る,1
visit,訪問する,出席する,参加する,到達する,1
enter,入る,参加する,出発する,到着する,1
approach,近づく,到達する,訪問する,出発する,1
join,参加する,出席する,訪問する,答える,1
attend,出席する,参加する,訪問する,答える,1
answer,答える,話し合う,示す,教える,1
marry,結婚する,参加する,話し合う,信じる,1
discuss,話し合う,議論する,答える,示す,1
follow,後を追う,近づく,参加する,戻る,1
give,与える,送る,見せる,渡す,1
teach,教える,見せる,書く,読む,1
show,見せる,教える,送る,示す,1
send,送る,渡す,与える,持ってくる,1
pass,渡す,送る,与える,置く,1
sing,歌う,書く,読む,料理する,1
write,書く,読む,歌う,答える,1
read,読む,書く,理解する,聞こえる,1
buy,買う,料理する,盗む,持ってくる,1
cook,料理する,買う,書く,作る,1
take,かかる,費用がかかる,取る,与える,1
cost,かかる,取る,買う,評価する,1
name,名づける,描く,みなす,示す,1
understand,理解する,気づく,信じる,わかる,1
steal,盗む,買う,持ってくる,渡す,1
open,開く,置く,切る,始める,1
see,見る,聞こえる,感じる,気づく,1
hear,聞こえる,見る,感じる,味がする,1
feel,感じる,聞こえる,見る,においがする,1
find,わかる,見つける,理解する,気づく,1
perceive,気づく,理解する,見る,聞こえる,1
make,～させる,許可する,頼む,期待する,1
have,～させる,保つ,与える,持っている,1
let,～させる,許可する,強いる,頼む,1
keep,保つ,ほったらかす,～させる,置く,1
leave,ほったらかす,保つ,置く,出発する,1
get,～させる,得る,許可する,期待する,1
ask,頼む,許可する,促す,助言する,1
allow,許可する,強いる,頼む,励ます,1
permit,許可する,可能にする,強いる,期待する,1
enable,可能にする,許可する,権利を与える,促す,1
force,強いる,許可する,励ます,助言する,1
advise,助言する,励ます,促す,期待する,1
encourage,励ます,助言する,促す,強いる,1
expect,期待する,決心する,促す,許可する,1
determine,決心する,期待する,強いる,助言する,1
urge,促す,励ます,許可する,頼む,1
entitle,権利を与える,可能にする,許可する,みなす,1
help,手伝う,頼む,励ます,許可する,1
regard,みなす,描く,見る,名づける,1
view,みなす,見る,描く,示す,1
describe,描く,みなす,示す,説明する,1
already,すでに,まだ,かつて,今まで,1
yet,まだ,すでに,かつて,決して,1
since,～今まで,～するとき,～する間,～した後に,1
ever,これまでに,すでに,まだ,かつて,1
once,かつて,すでに,まだ,今まで,1
die,死ぬ,住んでいる,座る,眠る,1
sit,座る,住んでいる,眠る,歩く,1
cut,切る,置く,開く,盗む,1
put,置く,切る,開く,渡す,1
begin,始める,終える,戻る,開く,1
swim,泳ぐ,飛び込む,歩く,スケートをする,1
skate,スケートをする,スキーする,泳ぐ,キャンプする,1
ski,スキーする,スケートをする,ハイキングをする,泳ぐ,1
camp,キャンプする,ハイキングをする,旅行する,歩く,1
hike,ハイキングをする,キャンプする,歩く,旅行する,1
know,知っている,好む,住んでいる,所有する,1
love,好む,知っている,所属している,似ている,1
live,住んでいる,死ぬ,所属している,所有する,1
belong,所属している,住んでいる,所有する,似ている,1
resemble,似ている,所属している,所有する,好む,1
own,所有する,所属している,住んでいる,似ている,1
when,～するとき,～する間,～する前に,もし～なら,1
while,～する間,～するとき,～した後に,～しない限り,1
before,～する前に,～した後に,～するとき,もし～なら,1
after,～した後に,～する前に,～する間,～しない限り,1
if,もし～なら,～しない限り,～するとき,さもなければ,1
unless,～しない限り,もし～なら,～した後に,さもなければ,1
otherwise,さもなければ,もし～なら,～しない限り,～する間,1
wish,願う,期待する,信じる,決心する,1
