id,section,word,correctAnswer,wrong1,wrong2,wrong3,points,explanation
1,1,history,歴史,stainの意味,橋,割合,1,Section 1 vocabulary
2,1,tie,結びつける,milestoneの意味,比率,easeの意味,1,Section 1 vocabulary
3,1,unite,一体にする,contraryの意味,群衆,congratulationの意味,1,Section 1 vocabulary
4,1,culture,文化,innovationの意味,納得させる,予備の/空いている,1,Section 1 vocabulary
5,1,plant,植物,supporterの意味,surprisinglyの意味,期待する,1,Section 1 vocabulary
6,1,unique,特有の,monopolyの意味,増加する,即時の,1,Section 1 vocabulary
7,1,characteristic,特徴,hybridの意味,輸入する,reinforceの意味,1,Section 1 vocabulary
8,1,matter,問題・物質,出口,災害,enormousの意味,1,Section 1 vocabulary
9,1,taste,味,hostの意味,scandalの意味,memoryの意味,1,Section 1 vocabulary
10,1,table,表,変化,健康な,橋,1,Section 1 vocabulary
11,1,cause,原因・引き起こす,standの意味,circulationの意味,steamの意味,1,Section 1 vocabulary
12,1,account,説明・口座,予備の/空いている,橋,designationの意味,1,Section 1 vocabulary
13,1,fact,事実,focusの意味,castの意味,literaryの意味,1,Section 1 vocabulary
14,1,treat,扱う・治療する,マスメディア,slotの意味,（外国からの）移住/入国,1,Section 1 vocabulary
15,2,raise,上げる・育てる,adjustmentの意味,sadnessの意味,fairlyの意味,1,Section 2 vocabulary
16,2,female,雌の・女性の,statisticの意味,deadlineの意味,indispensableの意味,1,Section 2 vocabulary
17,2,birth,誕生,approximatelyの意味,同意,非難する,1,Section 2 vocabulary
18,2,generate,生み出す,tipの意味,undoubtedlyの意味,routinelyの意味,1,Section 2 vocabulary
19,2,while,〜する間に,commissionの意味,比較,去る・残す,1,Section 2 vocabulary
20,2,meantime,その間,perspectiveの意味,免許,detailの意味,1,Section 2 vocabulary
21,2,leave,去る・残す,moleculeの意味,専門家,swearの意味,1,Section 2 vocabulary
22,2,hunt,狩る,economicsの意味,休む・残り,consistentの意味,1,Section 2 vocabulary
23,2,instead,その代わりに,definitelyの意味,効果的な,acquaintanceの意味,1,Section 2 vocabulary
24,2,guard,守る,wanderの意味,dataの意味,soarの意味,1,Section 2 vocabulary
25,2,secure,安全な・確保する,lordの意味,候補者,性,1,Section 2 vocabulary
26,2,offend,怒らせる,engineの意味,影響を与える,castの意味,1,Section 2 vocabulary
27,3,role,役割,〜によれば,evidenceの意味,現代の,1,Section 3 vocabulary
28,3,healthy,健康な,要求する,味,dementiaの意味,1,Section 3 vocabulary
29,3,healthcare,医療,不可欠の,closelyの意味,coincidenceの意味,1,Section 3 vocabulary
30,3,mammal,哺乳類,建造物/構造,massageの意味,dutyの意味,1,Section 3 vocabulary
