ID,Section,Answer
1,1,Learning Spanish is a slow process. It takes a lot of time and energy to master a new language.
2,1,"If evolution had been a continuous, gradual process that happened in stages, one might expect that each fossil specimen would be slightly different from almost every other one."
3,1,The Registrar’s Office already processed my request. It didn’t take long for them to approve my application for early graduation.
4,1,"The clothes people wear may also change their ability to process and understand information and perform tasks, a phenomenon known as enclothed cognition."
5,1,"When I start making money, I’m going to donate to medical research so that doctors can discover more about different diseases."
6,1,Many people who wanted to become archaeologists ended up pursuing other careers and contributing to archaeological research only through unpaid amateur investigations.
7,1,"For my final project, I’ll research the effects of technology on students’ attention spans. I’m excited to discover more about this topic."
8,1,Your assignment is to research the literature on a particular psychological topic and write about what you discover.
9,1,"If you want to learn about the environment and our surroundings, you could study Ecology."
10,1,"Research shows that consumers don’t want to let go of convenience, price, and quality – even though almost everyone says they care about the environment in which we live."
11,1,I grew up in a supportive environment. Having all those resources around me helped me to succeed.
12,1,Studies suggest that an animal’s environment may play a part in determining the behavior it displays. This is not surprising since animals respond to what surrounds them.
13,1,"The arrows indicate the direction to the restrooms. If you follow them, they’ll show you where it is."
14,1,"Rock paintings in the Sahara indicate that horses and chariots were used to traverse the desert and also show that by 300-200 B.C., there were trade routes across the Sahara."
15,1,Beans are a great source of protein for people who don’t eat meat. They provide plenty of nutrients.
16,1,"After our discussion of energy generated from wind and water, we will move on to what’s probably the most well-known alternative energy source, solar energy."
17,1,The orange you’re eating is sourced from Florida. The college orders fresh fruits from there
18,1,The coffee you are drinking is sourced from different regions; it comes from both South America and Indonesia.
19,1,The design on the windows in this lecture hall is surprisingly distracting! The stained-glass pattern caches my eye whenever the sun shines through it.
20,1,Stained glass is simply glass that has been colored and cut into pieces and reassembled to form a picture or decorative design with intricate patterns.
21,2,The architectural students will create a new design for the visitors’ lounge. Their plan is to make the area inviting.
22,2,There are two critical factors to consider when creating a pedestrian mall: the location and the design. A good plan for the structure will make the shopping experience more pleasant.
23,2,"I actually designed my own major! With the school’s approval, I was able to choose all of my classes and plan my entire curriculum."
24,2,"In earlier times it was necessary to design structural systems suitable for the materials that were available, such as wood, stone, or brick. Now creating plans for building is less restrictive."
25,2,"Tiredness can affect your performance on tests, so be sure to get plenty of rest before your exams."
26,2,Let’s talk about two ways advertising can be seen to negatively affect the environment-by wasting resources and by causing indirect harm.
27,2,Group work involves students working together and collaborating to accomplish project goals. Teamwork is a very important part of this.
28,2,There are museum jobs that don’t involve interacting with the public which require an employee to work alone.
29,2,The speaker at my graduation had a big impact on me. I was really influenced by what he said.
30,2,"The cumulative impact of the spread of industrial printing was spectacular, having incredible effects across continental Europe."
31,2,I wonder how going to college will impact my life. It’ll b a big change.
32,2,"Forest management impacts soil quality. And when better understand soil diversity, we will be better able to predict this effect."
33,2,I’m a good English tutor partly because I understand the grammatical structure of sentences. I can teach how to arrange words to make grammatical sentences.
34,2,"The “French Literature Reading Group” is just a brunch of students on campus interested in French literature, so there’s no formal structure or organization within the group."
35,2,I’m going to structure my schedule differently next semester so that I can arrange to have all my classes in the morning.
36,2,I am trying to structure my time better to organize things so that I’m not always running late.
37,2,You and I have similar opinions on shopping. That’s one thing we have in common!
38,2,Broccoli and other vegetables grown on the East coast contain similar nutrients and have comparable nutritional profiles.
39,2,All of the professors go to regular conferences where they discuss new teaching methods and innovative techniques to help us learn.
40,2,"The Nazca used a coiling method, a technique passed down from their ancestors, to make their pottery."
41,3,"We use forms of technology to complete our schoolwork. Someday, I want to create new devices for the next generation of students to use."
42,3,"Other new crops-varieties of squash or maize, for example-were created using genetic modification technology developed by scientists."
43,3,"There are individual assignments, so you have to do them by yourself."
44,3,"Production was generally in the hands of skilled individual artisans, who were independently doing piece work under the tutelage of a master, who was also the shop owner."
45,3,I have office hours for individuals who need help with assignments. Each person can reserve a meeting in a thirty-minutes time slot.
46,3,"He’s very conscious of the particular rules of social behavior that every person should live up to, and everything he does is to prove that he is an upright, moral individual."
47,3,Technology is an important feature of the course. You can’t really separate it from the other components.
48,3,"Traditionally, astronomers worked out how old geologic features of planets and moons were by the number of marks on the surface, which indicated landmarks such as valleys and peaks."
49,3,"Next week’s dining menu will feature delicious, locally grown vegetables, so they will be included in every dish."
50,3,"Native American visions of the landscape not surprisingly featured people living in harmony with mature, showing celebrations of the riches of nature in seasonal rituals and through time-honored practices."
51,3,Time is a factor in my decision to skip the homecoming celebration this weekend. I just have too much schoolwork to do in too little time.
52,3,"There are a couple of factors, or causes, that affect the amount of deformation that takes place or the speed of a glacier’s movement."
53,3,The final project is going to be more complex than our projects so far because it’ll have multiple components.
54,3,Learning to read complex sings composed of multiple parts requires a great deal of training and practice.
55,3,The school plans to build another students apartment complex with three or four new buildings.
56,3,The gigantic complex of reefs known as the Great Barrier Reef id by far the greatest coral structure on Earth.
57,3,"Follow the chef’s techniques, because he’s an expert in the best baking methods."
58,3,"Hydroponics is a technique for growing plants with their roots in water, in contrast to the traditional method, which used soil."
59,3,"This weekend, I’m going to start my math project. It’s big assignment, so I can’t wait too long to get going on it."
60,3,"Students must work with an assigned partner to select a topic and complete all related research for the science project, which is one of the major assignments for this class."
61,4,"I’m excited to watch the school football team next season. You never know what’ll happen, but we’re projected to win the national championship!"
62,4,"While it’s certainly true that traditional pesticides have been destructive to birds, it’s incorrect to projects this history into the future and assume it will be the same."
63,4,"I got caught in the rain without my umbrella, but fortunately, there was an awning projecting from the Art building where I could take cover."
64,4,Steel beams could be used to construct balconies that projected out from the building making them more noticeable.
65,4,"This literature course has evolved significantly. It used to be a collaborative discussion-based course, but is has changed into an individual project-based class."
66,4,"As the different families of venomous snakes evolved, the teeth moved forward, becoming larger, and the venom became stronger, making modern snakes different from their ancestors."
67,4,"There’s range of options for the final assignment. You can write a paper, do research, or prepare a presentation, for example."
68,4,"The new pot-making process allowed the Nazca to use a new range of colors, rich tones from browns and reds to ivory."
69,4,"There’s a mountain range not too far from campus. It’s a big chain, but we should check out the part that’s close to us sometime."
70,4,This rare plant species grows in a rain forest in a chain of mountains. The mountain range is in the northern part of Australia.
71,4,"It’s hard to focus on homework when I turn on the television, I can’t concentrate on two things all the same time."
72,4,"So, we’ll continue today with the topic of how fish mov, and we’ll focus on the role of fins, looking into this more closely."
73,4,"I had trouble focusing the projector, so it was hard to see my presentation slides clearly."
74,4,"Electromagnets bend the electron beam to magnify and focus an image onto a viewing screen or photographic film, clearly defining it."
75,4,The focus of your thesis should be what you think is the best type of research method. Center your argument around this issue.
76,4,"The focus of life was the agora, the open marketplace so central to Greek life, where assemblies could be held, fundamental topics could be discussed, and decisions could be made."
77,4,You should make an appointment at the writing center to get with writing essays. That center is a useful resource.
78,4,"The hard volcanic stone was a resource that had been in great demand for many years, and apparently there was a secure market for this material."
79,4,The professor tries to establish a positive classroom dynamic to give us chance to form strong relationships with each other.
80,4,"When you first tale a new job, establish a few basic ground rules for what is acceptable and unacceptable behavior. Once rules are made, follow them as best you can."
81,5,"In our last lecture, we established that dragon fruit can be grown in Thailand. Today, we will discover where else the fruit can be produced."
82,5,"In our last lecture, we established that there’s a strong connection between emotions and memories. Today, we will discover how these connections are made."
83,5,I believe I contributed the most to the class discussion because I participated more than anyone else did.
84,5,Carbon emissions are known to contribute to climate change and are one of the reasons there is more global warming today.
85,5,"For many scholarships, you need to maintain a certain GPA. If your grades fall too much, you lose the funding."
86,5,"If an animal’s environment gets very hot or very cold, something needs to happen in order for the animal to maintain its body temperature and keep it within normal range."
87,5,"The professor stated that the quiz will take thirty minutes, but the TA still maintains that it’ll only take fifteen minutes."
88,5,"Critics maintain that if the government wants to support national transportation, it should spend its money elsewhere. Their argument seems reasonable."
89,5,The speech had all the elements of a great presentation-every part captured the audience’s attention.
90,5,"For the Greek philosopher Plato, the “right” kind of music, along with other components, was an important element in education."
91,5,"Elements are very basic substances, so you learn about them right away in chemistry."
92,5,"A British astronomer decided that the sun, which is composed of many different types of matter, contained an element that hadn’t been discovered here on Earth yet."
93,5,The lecturer emphasized the importance of meeting deadlines. He stressed that he’ll fail us on the take-home test if we turn it in late.
94,5,Phone companies create commercials that emphasize and draw a lot of attention to how fun phones are.
95,5,The authors illustrated the health textbook with detailed and instructive diagrams of the digestive system.
96,5,"The paintings generally illustrate ideas and display events from the life of a mythical hero, who, after being healed by the gods, gave gifts of songs and paintings."
97,5,I illustrated the results from my chemistry experiment by clearly showing my methods in a short demonstration video.
98,5,"I think our discussion of sauropods will illustrate what we can learn by comparing the fossil record to modern animals, clearly showing the relationship between the two."
99,5,Try to infer the meaning of the word using clues in the sentence. You can often guess what is means from context.
100,5,"Determining what extinct dinosaurs ate is difficult, but we can infer, using our best judgment, some aspects of their dietary preferences."
