id,section,word,correctAnswer,choice1,choice2,choice3,points,explanation
1,読解必修語,ののしる,大きな声で騒ぐ,静かにする,悲しむ,手紙を書く,1,古典単語→現代語訳の四択問題。画像確認ベース。
2,読解必修語,ねんず,祈る・我慢する,大声で騒ぐ,出発する,手紙を書く,1,
3,読解必修語,しのぶ,人目を避ける・我慢する,褒める,訪ねる,驚く,1,
4,読解必修語,みゆ,見える・思われる,隠れる,悲しむ,急ぐ,1,
5,読解必修語,あふ,男女が結ばれる,別れる,怒る,働く,1,
6,読解必修語,ありく,歩き回る,眠る,書き写す,嘆く,1,
7,読解必修語,あく,満ち足りる,開く,飽きるだけ,壊れる,1,
8,読解必修語,かなし,いとしい・かわいい,悲しいだけ,恐ろしい,身分が低い,1,
9,読解必修語,いみじ,すばらしい・ひどい,少しだけ,静かだ,普通だ,1,
10,読解必修語,よし,よい・身分が高い,若い,悪いだけ,眠い,1,
11,読解必修語,おとなし,大人びている,幼い,急いでいる,貧しい,1,
12,読解必修語,おぼつかなし,気がかりだ・はっきりしない,楽しい,美しい,騒がしい,1,
13,読解必修語,めでたし,すばらしい,悲しい,汚い,弱い,1,
14,読解必修語,くちをし,残念だ・悔しい,眠い,美しい,忙しい,1,
15,読解必修語,わびし,つらい・困った,楽しい,強い,誇らしい,1,
16,読解必修語,をかし,趣がある・おもしろい,危険だ,怒っている,眠い,1,
17,読解必修語,うつくし,かわいい,美しいだけ,恐ろしい,古い,1,
18,読解必修語,おぼし,思う,聞く,走る,隠れる,1,
19,読解必修語,ゆかし,見たい・聞きたい・知りたい,行きたいだけ,悲しい,忙しい,1,
20,読解必修語,おぼつかなし,気がかりだ,うれしい,にぎやかだ,簡単だ,1,重複確認用。最終版では重複を整理します。
